,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture,Unnamed: 14
0,2461.0,2077.0,2379.0,2454.0,-2.0,1.55,10.14,10.14,1.55,-2.0,-0.03,-0.02,-0.02,Nice!,
1,2463.0,2145.0,2383.0,2497.0,-1.99,1.54,10.06,10.06,1.54,-1.99,-0.02,-0.03,-0.02,Nice!,
2,2484.0,2175.0,2398.0,2459.0,-2.07,1.69,10.06,10.06,1.69,-2.07,-0.02,-0.05,-0.02,Nice!,
3,2490.0,2202.0,2324.0,2514.0,-2.26,1.94,9.91,9.91,1.94,-2.26,0.04,0.04,-0.03,Nice!,
4,2464.0,2245.0,2381.0,2463.0,-2.67,2.08,9.44,9.44,2.08,-2.67,0.08,0.24,-0.05,Nice!,
5,2463.0,0.0,2365.0,2480.0,-3.92,3.33,8.8,8.8,3.33,-3.92,-0.04,0.15,-0.08,Nice!,
6,2469.0,0.0,2389.0,2497.0,-5.14,3.3,8.12,8.12,3.3,-5.14,-0.17,0.14,-0.08,Nice!,
7,2495.0,2257.0,2384.0,2523.0,-5.24,2.79,8.12,8.12,2.79,-5.24,-0.05,-0.02,-0.03,Nice!,
8,2450.0,2181.0,2389.0,2499.0,-5.26,2.74,8.19,8.19,2.74,-5.26,-0.05,-0.04,-0.02,Nice!,
9,2497.0,2192.0,2384.0,2517.0,-5.36,2.77,8.17,8.17,2.77,-5.36,-0.05,-0.03,-0.03,Nice!,
10,2510.0,0.0,2377.0,2467.0,-5.32,2.8,8.2,8.2,2.8,-5.32,-0.04,-0.05,-0.02,Nice!,
11,2480.0,0.0,2384.0,2544.0,-5.27,2.75,8.03,8.03,2.75,-5.27,-0.03,-0.04,-0.02,Nice!,
12,2455.0,0.0,2400.0,2491.0,-5.25,2.78,8.11,8.11,2.78,-5.25,-0.03,-0.05,-0.02,Nice!,
13,2466.0,2119.0,2395.0,2524.0,-6.33,3.62,9.5,9.5,3.62,-6.33,0.26,-0.59,0.14,Nice!,
14,2439.0,0.0,2410.0,2480.0,2.94,6.24,6.51,6.51,6.24,2.94,0.15,-1.47,1.14,Nice!,
15,2441.0,2247.0,2391.0,2501.0,7.42,1.98,6.47,6.47,1.98,7.42,0.08,-0.18,0.67,Nice!,
16,2479.0,0.0,2378.0,2487.0,7.32,-0.88,2.73,2.73,-0.88,7.32,-0.06,-0.67,0.29,Nice!,
17,2443.0,0.0,2429.0,2489.0,10.04,-0.3,2.36,2.36,-0.3,10.04,-0.13,-0.19,0.02,Nice!,
18,2469.0,0.0,2385.0,2491.0,10.07,-0.98,1.75,1.75,-0.98,10.07,-0.04,-0.06,0.02,Nice!,
19,2475.0,0.0,2389.0,2512.0,9.99,-0.98,1.92,1.92,-0.98,9.99,-0.05,-0.07,0.02,Nice!,
20,2480.0,0.0,2390.0,2483.0,10.18,-1.09,1.61,1.61,-1.09,10.18,-0.06,-0.03,-0.02,Nice!,
21,2450.0,0.0,2387.0,2489.0,10.06,-1.01,1.52,1.52,-1.01,10.06,-0.03,-0.05,-0.03,Nice!,
22,2471.0,0.0,2406.0,2490.0,10.05,-1.07,1.68,1.68,-1.07,10.05,-0.06,-0.08,-0.0,Nice!,
23,2481.0,0.0,2384.0,2512.0,10.08,-1.2,1.39,1.39,-1.2,10.08,-0.04,-0.04,-0.02,Nice!,
24,2424.0,0.0,2364.0,2467.0,10.07,-1.31,1.46,1.46,-1.31,10.07,-0.05,-0.05,-0.02,Nice!,
25,2454.0,0.0,2384.0,2500.0,10.11,-1.03,1.52,1.52,-1.03,10.11,-0.04,-0.07,0.0,Nice!,
26,2468.0,0.0,2379.0,2466.0,10.14,-1.27,1.3,1.3,-1.27,10.14,-0.02,-0.03,-0.01,Nice!,
27,2439.0,0.0,2416.0,2485.0,10.07,-1.21,1.3,1.3,-1.21,10.07,-0.03,-0.05,-0.01,Nice!,
28,2471.0,0.0,2384.0,2480.0,10.07,-1.41,1.32,1.32,-1.41,10.07,-0.03,-0.05,0.01,Nice!,
29,2445.0,0.0,2403.0,2451.0,10.13,-1.27,1.46,1.46,-1.27,10.13,-0.01,-0.02,-0.01,Nice!,
30,2442.0,0.0,2410.0,2501.0,10.07,-1.41,1.44,1.44,-1.41,10.07,-0.02,-0.07,0.03,Nice!,
31,2481.0,0.0,2391.0,2527.0,9.99,-1.37,1.28,1.28,-1.37,9.99,-0.02,-0.02,-0.03,Nice!,
32,2467.0,0.0,2384.0,2522.0,10.05,-1.36,1.2,1.2,-1.36,10.05,-0.04,-0.08,0.01,Nice!,
33,2448.0,0.0,2406.0,2479.0,9.98,-1.45,1.1,1.1,-1.45,9.98,-0.04,-0.06,-0.02,Nice!,
34,2459.0,0.0,2408.0,2511.0,10.15,-1.36,1.17,1.17,-1.36,10.15,-0.04,-0.05,-0.04,Nice!,
35,2464.0,0.0,2383.0,2512.0,10.13,-1.38,1.3,1.3,-1.38,10.13,-0.04,-0.05,-0.01,Nice!,
36,2452.0,0.0,2381.0,2485.0,10.01,-1.44,1.07,1.07,-1.44,10.01,-0.03,-0.05,-0.01,Nice!,
37,2467.0,0.0,2384.0,2541.0,10.02,-1.43,1.19,1.19,-1.43,10.02,-0.04,-0.02,-0.03,Nice!,
38,2437.0,0.0,2389.0,2526.0,10.07,-1.67,0.88,0.88,-1.67,10.07,-0.01,-0.0,-0.05,Nice!,
39,2454.0,0.0,2380.0,2473.0,10.01,-0.39,2.4,2.4,-0.39,10.01,0.09,-0.03,0.08,Nice!,
40,2453.0,0.0,2383.0,2496.0,10.14,-0.67,1.77,1.77,-0.67,10.14,0.17,-0.05,-0.05,Nice!,
41,2439.0,0.0,2377.0,2480.0,10.09,-0.82,1.69,1.69,-0.82,10.09,0.14,-0.0,-0.02,Nice!,
42,2449.0,0.0,2374.0,2489.0,9.94,-1.04,1.71,1.71,-1.04,9.94,-0.1,-0.02,-0.02,Nice!,
43,2455.0,0.0,2367.0,2509.0,10.19,-1.02,1.51,1.51,-1.02,10.19,0.21,-0.25,-0.24,Nice!,
44,2445.0,0.0,2382.0,2483.0,10.53,5.58,-4.58,-4.58,5.58,10.53,1.36,0.04,0.12,Nice!,
45,2479.0,0.0,2416.0,2512.0,8.44,2.87,-1.32,-1.32,2.87,8.44,0.02,-0.53,0.08,Nice!,
46,2494.0,0.0,2410.0,2450.0,9.75,1.62,-1.09,-1.09,1.62,9.75,0.15,0.77,0.16,Nice!,
47,2473.0,0.0,2393.0,2523.0,10.4,0.45,-0.7,-0.7,0.45,10.4,-0.16,0.07,0.31,Nice!,
48,2463.0,0.0,2377.0,2490.0,9.51,-2.61,3.22,3.22,-2.61,9.51,-0.82,-0.32,0.25,Nice!,
49,2465.0,0.0,2379.0,2481.0,9.99,-0.43,0.97,0.97,-0.43,9.99,-0.21,0.03,0.02,Nice!,
50,2471.0,0.0,2402.0,2471.0,10.22,-0.26,0.36,0.36,-0.26,10.22,-0.05,-0.02,-0.01,Nice!,
51,2463.0,0.0,2389.0,2491.0,10.08,-0.71,0.93,0.93,-0.71,10.08,-0.02,-0.05,0.0,Nice!,
52,2455.0,0.0,2379.0,2481.0,10.08,-0.58,0.75,0.75,-0.58,10.08,-0.04,-0.04,-0.03,Nice!,
53,2437.0,0.0,2395.0,2491.0,10.17,-0.66,0.78,0.78,-0.66,10.17,-0.05,-0.05,-0.02,Nice!,
54,2473.0,0.0,2400.0,2487.0,10.07,-0.54,0.81,0.81,-0.54,10.07,-0.04,-0.04,-0.03,Nice!,
55,2439.0,0.0,2388.0,2454.0,10.11,-0.63,0.79,0.79,-0.63,10.11,-0.04,-0.03,-0.03,Nice!,
56,2454.0,0.0,2414.0,2506.0,10.13,-1.31,0.23,0.23,-1.31,10.13,-0.11,0.08,-0.22,Nice!,
57,2473.0,0.0,2325.0,2505.0,9.89,0.23,2.93,2.93,0.23,9.89,0.03,0.09,0.05,Nice!,
58,2473.0,0.0,2400.0,2493.0,9.93,-0.77,2.84,2.84,-0.77,9.93,0.27,-0.22,-0.05,Nice!,
59,2444.0,0.0,2384.0,2506.0,9.97,-0.86,1.87,1.87,-0.86,9.97,0.07,-0.18,0.05,Nice!,
